"Sex","Month","Sub_occupation","Employment_status","Count","Main_occupation"
"Females",1986 Aug,"Hospitality, Retail and Service Managers","Full time",79.10998766,"Managers"
"Females",1986 Aug,"Hospitality, Retail and Service Managers","Part time",38.9371685,"Managers"
"Females",1986 Aug,"ICT Professionals","Full time",8.3689727,"Professionals"
"Females",1986 Aug,"ICT Professionals","Part time",0.72042097,"Professionals"
"Females",1986 Aug,"Inquiry Clerks and Receptionists","Full time",85.93058334,"Clerical and Administrative Workers"
"Females",1986 Aug,"Inquiry Clerks and Receptionists","Part time",41.48788282,"Clerical and Administrative Workers"
"Females",1986 Aug,"Legal, Social and Welfare Professionals","Full time",13.61638502,"Professionals"
"Females",1986 Aug,"Legal, Social and Welfare Professionals","Part time",5.21104715,"Professionals"
"Females",1986 Aug,"Machine and Stationary Plant Operators","Full time",58.07220464,"Machinery Operators and Drivers"
"Females",1986 Aug,"Machine and Stationary Plant Operators","Part time",11.38654899,"Machinery Operators and Drivers"
"Females",1986 Aug,"Mobile Plant Operators","Full time",1.17162453,"Machinery Operators and Drivers"
"Females",1986 Aug,"Mobile Plant Operators","Part time",0.34197443,"Machinery Operators and Drivers"
"Females",1986 Aug,"Numerical Clerks","Full time",147.52235505,"Clerical and Administrative Workers"
"Females",1986 Aug,"Numerical Clerks","Part time",83.53828383,"Clerical and Administrative Workers"
"Females",1986 Aug,"Office Managers and Program Administrators","Full time",30.96304926,"Clerical and Administrative Workers"
"Females",1986 Aug,"Office Managers and Program Administrators","Part time",21.03207389,"Clerical and Administrative Workers"
"Females",1986 Aug,"Other Clerical and Administrative Workers","Full time",64.35777948,"Sales Workers"
"Females",1986 Aug,"Other Clerical and Administrative Workers","Part time",20.81184917,"Sales Workers"
"Females",1986 Aug,"Other Labourers","Full time",10.05750705,"Labourers"
"Females",1986 Aug,"Other Labourers","Part time",11.1637963,"Labourers"
"Females",1986 Aug,"Other Technicians and Trades Workers","Full time",52.15791251,"Technicians and Trades Workers"
"Females",1986 Aug,"Other Technicians and Trades Workers","Part time",14.40388335,"Technicians and Trades Workers"
"Females",1986 Aug,"Personal Assistants and Secretaries","Full time",113.76791208,"Clerical and Administrative Workers"
"Females",1986 Aug,"Personal Assistants and Secretaries","Part time",45.93715235,"Clerical and Administrative Workers"
"Females",1986 Aug,"Protective Service Workers","Full time",5.68167455,"Community and Personal Service Workers"
"Females",1986 Aug,"Protective Service Workers","Part time",1.06425811,"Community and Personal Service Workers"
"Females",1986 Aug,"Road and Rail Drivers","Full time",5.90455067,"Machinery Operators and Drivers"
"Females",1986 Aug,"Road and Rail Drivers","Part time",8.08201351,"Machinery Operators and Drivers"
"Females",1986 Aug,"Sales Assistants and Salespersons","Full time",133.10548787,"Sales Workers"
"Females",1986 Aug,"Sales Assistants and Salespersons","Part time",132.70991873,"Sales Workers"
"Females",1986 Aug,"Sales Representatives and Agents","Full time",15.77086708,"Sales Workers"
"Females",1986 Aug,"Sales Representatives and Agents","Part time",8.41037932,"Sales Workers"
"Females",1986 Aug,"Sales Support Workers","Full time",23.95085002,"Sales Workers"
"Females",1986 Aug,"Sales Support Workers","Part time",37.6114289,"Sales Workers"
"Females",1986 Aug,"Skilled Animal and Horticultural Workers","Full time",8.69128762,"Technicians and Trades Workers"
"Females",1986 Aug,"Skilled Animal and Horticultural Workers","Part time",4.14782451,"Technicians and Trades Workers"
"Females",1986 Aug,"Specialist Managers","Full time",33.92870626,"Managers"
"Females",1986 Aug,"Specialist Managers","Part time",7.59540447,"Managers"
"Females",1986 Aug,"Sports and Personal Service Workers","Full time",15.37076392,"Community and Personal Service Workers"
"Females",1986 Aug,"Sports and Personal Service Workers","Part time",7.86004832,"Community and Personal Service Workers"
"Females",1986 Aug,"Storepersons","Full time",3.17116936,"Machinery Operators and Drivers"
"Females",1986 Aug,"Storepersons","Part time",5.27216628,"Machinery Operators and Drivers"
"Females",1986 Nov,"Arts and Media Professionals","Full time",8.31470054,"Professionals"
"Females",1986 Nov,"Arts and Media Professionals","Part time",8.08966543,"Professionals"
"Females",1986 Nov,"Automotive and Engineering Trades Workers","Full time",5.3238858,"Technicians and Trades Workers"
"Females",1986 Nov,"Automotive and Engineering Trades Workers","Part time",1.25126419,"Technicians and Trades Workers"
"Females",1986 Nov,"Business, Human Resource and Marketing Professionals","Full time",40.73756869,"Professionals"
"Females",1986 Nov,"Business, Human Resource and Marketing Professionals","Part time",10.9228886,"Professionals"
"Females",1986 Nov,"Carers and Aides","Full time",40.10422361,"Community and Personal Service Workers"
"Females",1986 Nov,"Carers and Aides","Part time",47.93844077,"Community and Personal Service Workers"
"Females",1986 Nov,"Chief Executives, General Managers and Legislators","Full time",4.71917981,"Managers"
"Females",1986 Nov,"Chief Executives, General Managers and Legislators","Part time",1.15991565,"Managers"
"Females",1986 Nov,"Cleaners and Laundry Workers","Full time",41.71323005,"Labourers"
"Females",1986 Nov,"Cleaners and Laundry Workers","Part time",99.23548069,"Labourers"
"Females",1986 Nov,"Clerical and Office Support Workers","Full time",50.04302102,"Sales Workers"
"Females",1986 Nov,"Clerical and Office Support Workers","Part time",24.92246909,"Sales Workers"
"Females",1986 Nov,"Construction Trades Workers","Full time",2.1176559,"Technicians and Trades Workers"
"Females",1986 Nov,"Construction Trades Workers","Part time",1.13261092,"Technicians and Trades Workers"
"Females",1986 Nov,"Construction and Mining Labourers","Full time",3.20248297,"Labourers"
"Females",1986 Nov,"Construction and Mining Labourers","Part time",2.01748275,"Labourers"
"Females",1986 Nov,"Design, Engineering, Science and Transport Professionals","Full time",17.96784618,"Professionals"
"Females",1986 Nov,"Design, Engineering, Science and Transport Professionals","Part time",3.70912034,"Professionals"
"Females",1986 Nov,"Education Professionals","Full time",137.17453675,"Professionals"
"Females",1986 Nov,"Education Professionals","Part time",54.85072245,"Professionals"
"Females",1986 Nov,"Electrotechnology and Telecommunications Trades Workers","Full time",3.13449727,"Technicians and Trades Workers"
"Females",1986 Nov,"Electrotechnology and Telecommunications Trades Workers","Part time",0.26359041,"Technicians and Trades Workers"
"Females",1986 Nov,"Engineering, ICT and Science Technicians","Full time",18.66162165,"Technicians and Trades Workers"
"Females",1986 Nov,"Engineering, ICT and Science Technicians","Part time",3.84139802,"Technicians and Trades Workers"
"Females",1986 Nov,"Factory Process Workers","Full time",67.35844206,"Labourers"
"Females",1986 Nov,"Factory Process Workers","Part time",19.70662471,"Labourers"
"Females",1986 Nov,"Farm, Forestry and Garden Workers","Full time",16.65440929,"Labourers"
"Females",1986 Nov,"Farm, Forestry and Garden Workers","Part time",16.37823613,"Labourers"
"Females",1986 Nov,"Farmers and Farm Managers","Full time",39.79366395,"Managers"
"Females",1986 Nov,"Farmers and Farm Managers","Part time",30.66712546,"Managers"
"Females",1986 Nov,"Food Preparation Assistants","Full time",22.94803779,"Labourers"
"Females",1986 Nov,"Food Preparation Assistants","Part time",37.47322809,"Labourers"
"Females",1986 Nov,"Food Trades Workers","Full time",14.4136771,"Technicians and Trades Workers"
"Females",1986 Nov,"Food Trades Workers","Part time",11.11816694,"Technicians and Trades Workers"
"Females",1986 Nov,"General Clerical Workers","Full time",118.7821616,"Clerical and Administrative Workers"
"Females",1986 Nov,"General Clerical Workers","Part time",47.29972271,"Clerical and Administrative Workers"
"Females",1986 Nov,"Health Professionals","Full time",105.29590055,"Professionals"
"Females",1986 Nov,"Health Professionals","Part time",58.16998086,"Professionals"
"Females",1986 Nov,"Health and Welfare Support Workers","Full time",24.96938934,"Community and Personal Service Workers"
"Females",1986 Nov,"Health and Welfare Support Workers","Part time",14.51101125,"Community and Personal Service Workers"
"Females",1986 Nov,"Hospitality Workers","Full time",25.59740349,"Community and Personal Service Workers"
"Females",1986 Nov,"Hospitality Workers","Part time",48.70887566,"Community and Personal Service Workers"
"Females",1986 Nov,"Hospitality, Retail and Service Managers","Full time",85.20613615,"Managers"
"Females",1986 Nov,"Hospitality, Retail and Service Managers","Part time",40.02060841,"Managers"
"Females",1986 Nov,"ICT Professionals","Full time",8.72495363,"Professionals"
"Females",1986 Nov,"ICT Professionals","Part time",0.9233241,"Professionals"
"Females",1986 Nov,"Inquiry Clerks and Receptionists","Full time",84.96089809,"Clerical and Administrative Workers"
"Females",1986 Nov,"Inquiry Clerks and Receptionists","Part time",40.72334572,"Clerical and Administrative Workers"
"Females",1986 Nov,"Legal, Social and Welfare Professionals","Full time",15.933753,"Professionals"
"Females",1986 Nov,"Legal, Social and Welfare Professionals","Part time",4.80638308,"Professionals"
"Females",1986 Nov,"Machine and Stationary Plant Operators","Full time",57.7595368,"Machinery Operators and Drivers"
"Females",1986 Nov,"Machine and Stationary Plant Operators","Part time",10.93671386,"Machinery Operators and Drivers"
"Females",1986 Nov,"Mobile Plant Operators","Full time",0.98790748,"Machinery Operators and Drivers"
"Females",1986 Nov,"Mobile Plant Operators","Part time",0.32508356,"Machinery Operators and Drivers"
"Females",1986 Nov,"Numerical Clerks","Full time",138.34497412,"Clerical and Administrative Workers"
"Females",1986 Nov,"Numerical Clerks","Part time",85.97112358,"Clerical and Administrative Workers"
"Females",1986 Nov,"Office Managers and Program Administrators","Full time",29.59012032,"Clerical and Administrative Workers"
"Females",1986 Nov,"Office Managers and Program Administrators","Part time",21.26904071,"Clerical and Administrative Workers"
"Females",1986 Nov,"Other Clerical and Administrative Workers","Full time",63.04403854,"Sales Workers"
"Females",1986 Nov,"Other Clerical and Administrative Workers","Part time",22.91471571,"Sales Workers"
"Females",1986 Nov,"Other Labourers","Full time",10.90730197,"Labourers"
"Females",1986 Nov,"Other Labourers","Part time",12.72800578,"Labourers"
"Females",1986 Nov,"Other Technicians and Trades Workers","Full time",50.37214393,"Technicians and Trades Workers"
"Females",1986 Nov,"Other Technicians and Trades Workers","Part time",16.72464313,"Technicians and Trades Workers"
"Females",1986 Nov,"Personal Assistants and Secretaries","Full time",114.59061938,"Clerical and Administrative Workers"
"Females",1986 Nov,"Personal Assistants and Secretaries","Part time",52.42767614,"Clerical and Administrative Workers"
"Females",1986 Nov,"Protective Service Workers","Full time",4.51281869,"Community and Personal Service Workers"
"Females",1986 Nov,"Protective Service Workers","Part time",1.89628936,"Community and Personal Service Workers"
"Females",1986 Nov,"Road and Rail Drivers","Full time",7.79119925,"Machinery Operators and Drivers"
"Females",1986 Nov,"Road and Rail Drivers","Part time",6.55632819,"Machinery Operators and Drivers"
"Females",1986 Nov,"Sales Assistants and Salespersons","Full time",142.12685738,"Sales Workers"
"Females",1986 Nov,"Sales Assistants and Salespersons","Part time",146.07010981,"Sales Workers"
"Females",1986 Nov,"Sales Representatives and Agents","Full time",16.83456098,"Sales Workers"
"Females",1986 Nov,"Sales Representatives and Agents","Part time",6.89725769,"Sales Workers"
"Females",1986 Nov,"Sales Support Workers","Full time",23.00290656,"Sales Workers"
"Females",1986 Nov,"Sales Support Workers","Part time",44.22418704,"Sales Workers"
"Females",1986 Nov,"Skilled Animal and Horticultural Workers","Full time",7.06826587,"Technicians and Trades Workers"
"Females",1986 Nov,"Skilled Animal and Horticultural Workers","Part time",4.33273059,"Technicians and Trades Workers"
"Females",1986 Nov,"Specialist Managers","Full time",30.30830289,"Managers"
"Females",1986 Nov,"Specialist Managers","Part time",7.20642202,"Managers"
"Females",1986 Nov,"Sports and Personal Service Workers","Full time",15.96054465,"Community and Personal Service Workers"
"Females",1986 Nov,"Sports and Personal Service Workers","Part time",7.83706135,"Community and Personal Service Workers"
"Females",1986 Nov,"Storepersons","Full time",4.74799021,"Machinery Operators and Drivers"
"Females",1986 Nov,"Storepersons","Part time",5.81192023,"Machinery Operators and Drivers"
"Females",1987 Feb,"Arts and Media Professionals","Full time",10.58337944,"Professionals"
"Females",1987 Feb,"Arts and Media Professionals","Part time",6.67477925,"Professionals"
"Females",1987 Feb,"Automotive and Engineering Trades Workers","Full time",4.18982226,"Technicians and Trades Workers"
"Females",1987 Feb,"Automotive and Engineering Trades Workers","Part time",0.59639682,"Technicians and Trades Workers"
"Females",1987 Feb,"Business, Human Resource and Marketing Professionals","Full time",38.84290949,"Professionals"
"Females",1987 Feb,"Business, Human Resource and Marketing Professionals","Part time",10.98045646,"Professionals"
"Females",1987 Feb,"Carers and Aides","Full time",40.81831012,"Community and Personal Service Workers"
"Females",1987 Feb,"Carers and Aides","Part time",44.1716818,"Community and Personal Service Workers"
"Females",1987 Feb,"Chief Executives, General Managers and Legislators","Full time",3.97089815,"Managers"
"Females",1987 Feb,"Chief Executives, General Managers and Legislators","Part time",1.45254654,"Managers"
"Females",1987 Feb,"Cleaners and Laundry Workers","Full time",42.62887404,"Labourers"
"Females",1987 Feb,"Cleaners and Laundry Workers","Part time",100.38057087,"Labourers"
"Females",1987 Feb,"Clerical and Office Support Workers","Full time",58.96606877,"Sales Workers"
"Females",1987 Feb,"Clerical and Office Support Workers","Part time",23.8208373,"Sales Workers"
"Females",1987 Feb,"Construction Trades Workers","Full time",2.27488088,"Technicians and Trades Workers"
"Females",1987 Feb,"Construction Trades Workers","Part time",1.40653407,"Technicians and Trades Workers"
"Females",1987 Feb,"Construction and Mining Labourers","Full time",2.46443325,"Labourers"
"Females",1987 Feb,"Construction and Mining Labourers","Part time",1.26391976,"Labourers"
"Females",1987 Feb,"Design, Engineering, Science and Transport Professionals","Full time",19.55855853,"Professionals"
"Females",1987 Feb,"Design, Engineering, Science and Transport Professionals","Part time",3.5780362,"Professionals"
"Females",1987 Feb,"Education Professionals","Full time",134.36053933,"Professionals"
"Females",1987 Feb,"Education Professionals","Part time",40.58914373,"Professionals"
"Females",1987 Feb,"Electrotechnology and Telecommunications Trades Workers","Full time",2.21170425,"Technicians and Trades Workers"
"Females",1987 Feb,"Electrotechnology and Telecommunications Trades Workers","Part time",0.28281951,"Technicians and Trades Workers"
"Females",1987 Feb,"Engineering, ICT and Science Technicians","Full time",20.76667516,"Technicians and Trades Workers"
"Females",1987 Feb,"Engineering, ICT and Science Technicians","Part time",4.1621173,"Technicians and Trades Workers"
"Females",1987 Feb,"Factory Process Workers","Full time",65.87789877,"Labourers"
"Females",1987 Feb,"Factory Process Workers","Part time",18.34280384,"Labourers"
"Females",1987 Feb,"Farm, Forestry and Garden Workers","Full time",16.17541395,"Labourers"
"Females",1987 Feb,"Farm, Forestry and Garden Workers","Part time",17.77998746,"Labourers"
"Females",1987 Feb,"Farmers and Farm Managers","Full time",36.30678718,"Managers"
"Females",1987 Feb,"Farmers and Farm Managers","Part time",36.41012586,"Managers"
"Females",1987 Feb,"Food Preparation Assistants","Full time",24.17362846,"Labourers"
"Females",1987 Feb,"Food Preparation Assistants","Part time",35.31616434,"Labourers"
"Females",1987 Feb,"Food Trades Workers","Full time",15.64859782,"Technicians and Trades Workers"
"Females",1987 Feb,"Food Trades Workers","Part time",11.31156672,"Technicians and Trades Workers"
"Females",1987 Feb,"General Clerical Workers","Full time",116.12502301,"Clerical and Administrative Workers"
"Females",1987 Feb,"General Clerical Workers","Part time",44.05734142,"Clerical and Administrative Workers"
"Females",1987 Feb,"Health Professionals","Full time",104.56971226,"Professionals"
"Females",1987 Feb,"Health Professionals","Part time",60.85451596,"Professionals"
"Females",1987 Feb,"Health and Welfare Support Workers","Full time",26.74407845,"Community and Personal Service Workers"
"Females",1987 Feb,"Health and Welfare Support Workers","Part time",17.16760412,"Community and Personal Service Workers"
"Females",1987 Feb,"Hospitality Workers","Full time",22.36765364,"Community and Personal Service Workers"
"Females",1987 Feb,"Hospitality Workers","Part time",51.8327882,"Community and Personal Service Workers"
"Females",1987 Feb,"Hospitality, Retail and Service Managers","Full time",84.39297875,"Managers"
"Females",1987 Feb,"Hospitality, Retail and Service Managers","Part time",39.80537853,"Managers"
"Females",1987 Feb,"ICT Professionals","Full time",8.40398878,"Professionals"
"Females",1987 Feb,"ICT Professionals","Part time",0.254587,"Professionals"
"Females",1987 Feb,"Inquiry Clerks and Receptionists","Full time",83.76771564,"Clerical and Administrative Workers"
"Females",1987 Feb,"Inquiry Clerks and Receptionists","Part time",42.4044105,"Clerical and Administrative Workers"
"Females",1987 Feb,"Legal, Social and Welfare Professionals","Full time",15.23871646,"Professionals"
"Females",1987 Feb,"Legal, Social and Welfare Professionals","Part time",3.58529711,"Professionals"
"Females",1987 Feb,"Machine and Stationary Plant Operators","Full time",53.74963298,"Machinery Operators and Drivers"
"Females",1987 Feb,"Machine and Stationary Plant Operators","Part time",10.59555182,"Machinery Operators and Drivers"
"Females",1987 Feb,"Mobile Plant Operators","Full time",1.16464609,"Machinery Operators and Drivers"
"Females",1987 Feb,"Mobile Plant Operators","Part time",0.48380276,"Machinery Operators and Drivers"
"Females",1987 Feb,"Numerical Clerks","Full time",141.79082476,"Clerical and Administrative Workers"
"Females",1987 Feb,"Numerical Clerks","Part time",84.5102541,"Clerical and Administrative Workers"
"Females",1987 Feb,"Office Managers and Program Administrators","Full time",30.88292664,"Clerical and Administrative Workers"
"Females",1987 Feb,"Office Managers and Program Administrators","Part time",21.21349952,"Clerical and Administrative Workers"
"Females",1987 Feb,"Other Clerical and Administrative Workers","Full time",67.57748113,"Sales Workers"
"Females",1987 Feb,"Other Clerical and Administrative Workers","Part time",22.92807469,"Sales Workers"
"Females",1987 Feb,"Other Labourers","Full time",8.88067328,"Labourers"
"Females",1987 Feb,"Other Labourers","Part time",11.28066169,"Labourers"
"Females",1987 Feb,"Other Technicians and Trades Workers","Full time",49.38267116,"Technicians and Trades Workers"
"Females",1987 Feb,"Other Technicians and Trades Workers","Part time",14.12969904,"Technicians and Trades Workers"
"Females",1987 Feb,"Personal Assistants and Secretaries","Full time",123.56389078,"Clerical and Administrative Workers"
"Females",1987 Feb,"Personal Assistants and Secretaries","Part time",50.32508079,"Clerical and Administrative Workers"
"Females",1987 Feb,"Protective Service Workers","Full time",3.06978465,"Community and Personal Service Workers"
"Females",1987 Feb,"Protective Service Workers","Part time",1.48730079,"Community and Personal Service Workers"
"Females",1987 Feb,"Road and Rail Drivers","Full time",7.48433029,"Machinery Operators and Drivers"
"Females",1987 Feb,"Road and Rail Drivers","Part time",5.09527968,"Machinery Operators and Drivers"
"Females",1987 Feb,"Sales Assistants and Salespersons","Full time",138.2745073,"Sales Workers"
"Females",1987 Feb,"Sales Assistants and Salespersons","Part time",135.45315045,"Sales Workers"
"Females",1987 Feb,"Sales Representatives and Agents","Full time",17.66834588,"Sales Workers"
"Females",1987 Feb,"Sales Representatives and Agents","Part time",8.04096548,"Sales Workers"
"Females",1987 Feb,"Sales Support Workers","Full time",20.0374373,"Sales Workers"
"Females",1987 Feb,"Sales Support Workers","Part time",43.31685992,"Sales Workers"
"Females",1987 Feb,"Skilled Animal and Horticultural Workers","Full time",5.8028035,"Technicians and Trades Workers"
"Females",1987 Feb,"Skilled Animal and Horticultural Workers","Part time",4.06684304,"Technicians and Trades Workers"
"Females",1987 Feb,"Specialist Managers","Full time",32.26116067,"Managers"
"Females",1987 Feb,"Specialist Managers","Part time",7.21298543,"Managers"
"Females",1987 Feb,"Sports and Personal Service Workers","Full time",14.3407707,"Community and Personal Service Workers"
"Females",1987 Feb,"Sports and Personal Service Workers","Part time",8.7849718,"Community and Personal Service Workers"
"Females",1987 Feb,"Storepersons","Full time",3.92356067,"Machinery Operators and Drivers"
"Females",1987 Feb,"Storepersons","Part time",5.45712107,"Machinery Operators and Drivers"
"Females",1987 May,"Arts and Media Professionals","Full time",11.11208756,"Professionals"
"Females",1987 May,"Arts and Media Professionals","Part time",7.63849632,"Professionals"
"Females",1987 May,"Automotive and Engineering Trades Workers","Full time",3.73749432,"Technicians and Trades Workers"
"Females",1987 May,"Automotive and Engineering Trades Workers","Part time",0.19006403,"Technicians and Trades Workers"
"Females",1987 May,"Business, Human Resource and Marketing Professionals","Full time",43.50835748,"Professionals"
"Females",1987 May,"Business, Human Resource and Marketing Professionals","Part time",11.30666554,"Professionals"
"Females",1987 May,"Carers and Aides","Full time",42.12197762,"Community and Personal Service Workers"
"Females",1987 May,"Carers and Aides","Part time",56.30652464,"Community and Personal Service Workers"
"Females",1987 May,"Chief Executives, General Managers and Legislators","Full time",4.02697274,"Managers"
"Females",1987 May,"Chief Executives, General Managers and Legislators","Part time",1.43421034,"Managers"
"Females",1987 May,"Cleaners and Laundry Workers","Full time",48.68794328,"Labourers"
"Females",1987 May,"Cleaners and Laundry Workers","Part time",103.96410726,"Labourers"
"Females",1987 May,"Clerical and Office Support Workers","Full time",56.24024312,"Sales Workers"
"Females",1987 May,"Clerical and Office Support Workers","Part time",26.33096062,"Sales Workers"
"Females",1987 May,"Construction Trades Workers","Full time",2.86052543,"Technicians and Trades Workers"
"Females",1987 May,"Construction Trades Workers","Part time",1.09460312,"Technicians and Trades Workers"
"Females",1987 May,"Construction and Mining Labourers","Full time",2.16895353,"Labourers"
"Females",1987 May,"Construction and Mining Labourers","Part time",1.25160179,"Labourers"
"Females",1987 May,"Design, Engineering, Science and Transport Professionals","Full time",16.03500125,"Professionals"
"Females",1987 May,"Design, Engineering, Science and Transport Professionals","Part time",4.28291313,"Professionals"
"Females",1987 May,"Education Professionals","Full time",135.60972061,"Professionals"
"Females",1987 May,"Education Professionals","Part time",53.64258824,"Professionals"
"Females",1987 May,"Electrotechnology and Telecommunications Trades Workers","Full time",1.87167981,"Technicians and Trades Workers"
"Females",1987 May,"Electrotechnology and Telecommunications Trades Workers","Part time",0.08411159,"Technicians and Trades Workers"
"Females",1987 May,"Engineering, ICT and Science Technicians","Full time",21.32266099,"Technicians and Trades Workers"
"Females",1987 May,"Engineering, ICT and Science Technicians","Part time",5.39797895,"Technicians and Trades Workers"
"Females",1987 May,"Factory Process Workers","Full time",66.67219949,"Labourers"
"Females",1987 May,"Factory Process Workers","Part time",16.858814,"Labourers"
"Females",1987 May,"Farm, Forestry and Garden Workers","Full time",13.53639197,"Labourers"
"Females",1987 May,"Farm, Forestry and Garden Workers","Part time",17.22618147,"Labourers"
"Females",1987 May,"Farmers and Farm Managers","Full time",35.88440211,"Managers"
"Females",1987 May,"Farmers and Farm Managers","Part time",36.51138838,"Managers"
"Females",1987 May,"Food Preparation Assistants","Full time",20.0556784,"Labourers"
"Females",1987 May,"Food Preparation Assistants","Part time",33.85609257,"Labourers"
"Females",1987 May,"Food Trades Workers","Full time",15.05522864,"Technicians and Trades Workers"
"Females",1987 May,"Food Trades Workers","Part time",10.24225343,"Technicians and Trades Workers"
"Females",1987 May,"General Clerical Workers","Full time",123.03422775,"Clerical and Administrative Workers"
"Females",1987 May,"General Clerical Workers","Part time",45.25300643,"Clerical and Administrative Workers"
"Females",1987 May,"Health Professionals","Full time",103.82283975,"Professionals"
"Females",1987 May,"Health Professionals","Part time",62.59851553,"Professionals"
"Females",1987 May,"Health and Welfare Support Workers","Full time",25.42435392,"Community and Personal Service Workers"
"Females",1987 May,"Health and Welfare Support Workers","Part time",16.84333008,"Community and Personal Service Workers"
"Females",1987 May,"Hospitality Workers","Full time",20.4599167,"Community and Personal Service Workers"
"Females",1987 May,"Hospitality Workers","Part time",57.07407035,"Community and Personal Service Workers"
"Females",1987 May,"Hospitality, Retail and Service Managers","Full time",85.45903731,"Managers"
"Females",1987 May,"Hospitality, Retail and Service Managers","Part time",44.73136434,"Managers"
"Females",1987 May,"ICT Professionals","Full time",11.20481768,"Professionals"
"Females",1987 May,"ICT Professionals","Part time",1.19565088,"Professionals"
"Females",1987 May,"Inquiry Clerks and Receptionists","Full time",85.92121476,"Clerical and Administrative Workers"
"Females",1987 May,"Inquiry Clerks and Receptionists","Part time",43.42230538,"Clerical and Administrative Workers"
"Females",1987 May,"Legal, Social and Welfare Professionals","Full time",15.67137276,"Professionals"
"Females",1987 May,"Legal, Social and Welfare Professionals","Part time",4.87628121,"Professionals"
"Females",1987 May,"Machine and Stationary Plant Operators","Full time",54.12318295,"Machinery Operators and Drivers"
