"Month","Sex","Employment_status","Main_occupation","Count"
"68",1987 Feb,"Females","Full time","Machinery Operators and Drivers",66.32217003
"69",1987 Feb,"Females","Full time","Managers",156.93182475
"70",1987 Feb,"Females","Full time","Professionals",331.55780429
"71",1987 Feb,"Females","Full time","Sales Workers",302.52384038
"72",1987 Feb,"Females","Full time","Technicians and Trades Workers",100.27715503
"73",1987 Feb,"Females","Part time","Clerical and Administrative Workers",242.51058633
"74",1987 Feb,"Females","Part time","Community and Personal Service Workers",123.44434671
"75",1987 Feb,"Females","Part time","Labourers",184.36410796
"76",1987 Feb,"Females","Part time","Machinery Operators and Drivers",21.63175533
"77",1987 Feb,"Females","Part time","Managers",84.88103636
"78",1987 Feb,"Females","Part time","Professionals",126.51681571
"79",1987 Feb,"Females","Part time","Sales Workers",233.55988784
"80",1987 Feb,"Females","Part time","Technicians and Trades Workers",35.9559765
"81",1987 Feb,"Males","Full time","Clerical and Administrative Workers",185.1884641
"82",1987 Feb,"Males","Full time","Community and Personal Service Workers",125.99724805
"83",1987 Feb,"Males","Full time","Labourers",547.95335938
"84",1987 Feb,"Males","Full time","Machinery Operators and Drivers",474.17396067
"85",1987 Feb,"Males","Full time","Managers",595.2047538
"86",1987 Feb,"Males","Full time","Professionals",577.71424532
"87",1987 Feb,"Males","Full time","Sales Workers",390.88062917
"88",1987 Feb,"Males","Full time","Technicians and Trades Workers",1082.29410705
"89",1987 Feb,"Males","Part time","Clerical and Administrative Workers",6.57806614
"90",1987 Feb,"Males","Part time","Community and Personal Service Workers",19.35875474
"91",1987 Feb,"Males","Part time","Labourers",79.59638324
"92",1987 Feb,"Males","Part time","Machinery Operators and Drivers",23.7430679
"93",1987 Feb,"Males","Part time","Managers",24.34420926
"94",1987 Feb,"Males","Part time","Professionals",36.42816547
"95",1987 Feb,"Males","Part time","Sales Workers",44.83434719
"96",1987 Feb,"Males","Part time","Technicians and Trades Workers",33.81378416
"97",1987 May,"Females","Full time","Clerical and Administrative Workers",511.28597194
"98",1987 May,"Females","Full time","Community and Personal Service Workers",110.22984544
"99",1987 May,"Females","Full time","Labourers",158.81036848
"100",1987 May,"Females","Full time","Machinery Operators and Drivers",66.359201
"101",1987 May,"Females","Full time","Managers",159.07565743
"102",1987 May,"Females","Full time","Professionals",336.96419709
"103",1987 May,"Females","Full time","Sales Workers",279.75263307
"104",1987 May,"Females","Full time","Technicians and Trades Workers",101.82958392
"105",1987 May,"Females","Part time","Clerical and Administrative Workers",238.5956735
"106",1987 May,"Females","Part time","Community and Personal Service Workers",142.71924258
"107",1987 May,"Females","Part time","Labourers",184.25758887
"108",1987 May,"Females","Part time","Machinery Operators and Drivers",24.65900564
"109",1987 May,"Females","Part time","Managers",90.69887834
"110",1987 May,"Females","Part time","Professionals",145.54111085
"111",1987 May,"Females","Part time","Sales Workers",247.78195678
"112",1987 May,"Females","Part time","Technicians and Trades Workers",35.24684318
"113",1987 May,"Males","Full time","Clerical and Administrative Workers",176.02393856
"114",1987 May,"Males","Full time","Community and Personal Service Workers",116.84087887
"115",1987 May,"Males","Full time","Labourers",544.33843086
"116",1987 May,"Males","Full time","Machinery Operators and Drivers",474.08906151
"117",1987 May,"Males","Full time","Managers",609.47461942
"118",1987 May,"Males","Full time","Professionals",583.71378608
"119",1987 May,"Males","Full time","Sales Workers",391.94141077
"120",1987 May,"Males","Full time","Technicians and Trades Workers",1075.6175685
"121",1987 May,"Males","Part time","Clerical and Administrative Workers",9.82384442
"122",1987 May,"Males","Part time","Community and Personal Service Workers",22.15129378
"123",1987 May,"Males","Part time","Labourers",89.84770618
"124",1987 May,"Males","Part time","Machinery Operators and Drivers",24.19024972
"125",1987 May,"Males","Part time","Managers",24.53355896
"126",1987 May,"Males","Part time","Professionals",37.7784925
"127",1987 May,"Males","Part time","Sales Workers",49.30228917
"128",1987 May,"Males","Part time","Technicians and Trades Workers",40.04856981
"129",1987 Aug,"Females","Full time","Clerical and Administrative Workers",505.75448627
"130",1987 Aug,"Females","Full time","Community and Personal Service Workers",113.08417573
"131",1987 Aug,"Females","Full time","Labourers",157.69678318
"132",1987 Aug,"Females","Full time","Machinery Operators and Drivers",71.36839611
"133",1987 Aug,"Females","Full time","Managers",159.50466279
"134",1987 Aug,"Females","Full time","Professionals",332.80505867
"135",1987 Aug,"Females","Full time","Sales Workers",271.9577462
"136",1987 Aug,"Females","Full time","Technicians and Trades Workers",98.93810296
"137",1987 Aug,"Females","Part time","Clerical and Administrative Workers",237.59409408
"138",1987 Aug,"Females","Part time","Community and Personal Service Workers",137.36409469
"139",1987 Aug,"Females","Part time","Labourers",184.48151761
"140",1987 Aug,"Females","Part time","Machinery Operators and Drivers",20.60406644
"141",1987 Aug,"Females","Part time","Managers",90.33066188
"142",1987 Aug,"Females","Part time","Professionals",154.23259838
"143",1987 Aug,"Females","Part time","Sales Workers",244.86629848
"144",1987 Aug,"Females","Part time","Technicians and Trades Workers",34.61878921
"145",1987 Aug,"Males","Full time","Clerical and Administrative Workers",177.07779097
"146",1987 Aug,"Males","Full time","Community and Personal Service Workers",123.76054331
"147",1987 Aug,"Males","Full time","Labourers",521.0056233
"148",1987 Aug,"Males","Full time","Machinery Operators and Drivers",467.92814681
"149",1987 Aug,"Males","Full time","Managers",614.01214814
"150",1987 Aug,"Males","Full time","Professionals",580.33083922
"151",1987 Aug,"Males","Full time","Sales Workers",388.81666325
"152",1987 Aug,"Males","Full time","Technicians and Trades Workers",1087.03371356
"153",1987 Aug,"Males","Part time","Clerical and Administrative Workers",8.7895724
"154",1987 Aug,"Males","Part time","Community and Personal Service Workers",24.844573
"155",1987 Aug,"Males","Part time","Labourers",94.45904575
"156",1987 Aug,"Males","Part time","Machinery Operators and Drivers",25.29265016
"157",1987 Aug,"Males","Part time","Managers",25.70424489
"158",1987 Aug,"Males","Part time","Professionals",42.6860166
"159",1987 Aug,"Males","Part time","Sales Workers",55.10760853
"160",1987 Aug,"Males","Part time","Technicians and Trades Workers",40.20660898
"161",1987 Nov,"Females","Full time","Clerical and Administrative Workers",497.13023721
"162",1987 Nov,"Females","Full time","Community and Personal Service Workers",108.91395394
"163",1987 Nov,"Females","Full time","Labourers",164.16145757
"164",1987 Nov,"Females","Full time","Machinery Operators and Drivers",75.77330805
"165",1987 Nov,"Females","Full time","Managers",163.39067907
"166",1987 Nov,"Females","Full time","Professionals",342.05219604
"167",1987 Nov,"Females","Full time","Sales Workers",302.05739254
"168",1987 Nov,"Females","Full time","Technicians and Trades Workers",93.65176437
"169",1987 Nov,"Females","Part time","Clerical and Administrative Workers",244.86756348
"170",1987 Nov,"Females","Part time","Community and Personal Service Workers",139.63370747
"171",1987 Nov,"Females","Part time","Labourers",196.69388918
"172",1987 Nov,"Females","Part time","Machinery Operators and Drivers",24.49545196
"173",1987 Nov,"Females","Part time","Managers",81.58559734
"174",1987 Nov,"Females","Part time","Professionals",146.10155425
"175",1987 Nov,"Females","Part time","Sales Workers",263.96799612
"176",1987 Nov,"Females","Part time","Technicians and Trades Workers",43.50145317
"177",1987 Nov,"Males","Full time","Clerical and Administrative Workers",175.94071559
"178",1987 Nov,"Males","Full time","Community and Personal Service Workers",130.53459812
"179",1987 Nov,"Males","Full time","Labourers",544.08000147
"180",1987 Nov,"Males","Full time","Machinery Operators and Drivers",479.37748046
"181",1987 Nov,"Males","Full time","Managers",617.5468973
"182",1987 Nov,"Males","Full time","Professionals",569.05847201
"183",1987 Nov,"Males","Full time","Sales Workers",384.02351366
"184",1987 Nov,"Males","Full time","Technicians and Trades Workers",1075.17512381
"185",1987 Nov,"Males","Part time","Clerical and Administrative Workers",9.10439468
"186",1987 Nov,"Males","Part time","Community and Personal Service Workers",25.91336206
"187",1987 Nov,"Males","Part time","Labourers",96.52916004
"188",1987 Nov,"Males","Part time","Machinery Operators and Drivers",29.98433052
"189",1987 Nov,"Males","Part time","Managers",24.36573584
"190",1987 Nov,"Males","Part time","Professionals",40.52953166
"191",1987 Nov,"Males","Part time","Sales Workers",50.718003
"192",1987 Nov,"Males","Part time","Technicians and Trades Workers",41.30177901
"193",1988 Feb,"Females","Full time","Clerical and Administrative Workers",531.30163941
"194",1988 Feb,"Females","Full time","Community and Personal Service Workers",113.35649658
"195",1988 Feb,"Females","Full time","Labourers",168.60255558
"196",1988 Feb,"Females","Full time","Machinery Operators and Drivers",72.92839824
"197",1988 Feb,"Females","Full time","Managers",173.73421465
"198",1988 Feb,"Females","Full time","Professionals",344.28859344
"199",1988 Feb,"Females","Full time","Sales Workers",293.09717189
"200",1988 Feb,"Females","Full time","Technicians and Trades Workers",98.88599391
"201",1988 Feb,"Females","Part time","Clerical and Administrative Workers",250.43808093
"202",1988 Feb,"Females","Part time","Community and Personal Service Workers",127.24365892
"203",1988 Feb,"Females","Part time","Labourers",190.43460925
"204",1988 Feb,"Females","Part time","Machinery Operators and Drivers",22.57456918
"205",1988 Feb,"Females","Part time","Managers",86.00362133
"206",1988 Feb,"Females","Part time","Professionals",125.12349303
"207",1988 Feb,"Females","Part time","Sales Workers",246.75277368
"208",1988 Feb,"Females","Part time","Technicians and Trades Workers",39.87252064
"209",1988 Feb,"Males","Full time","Clerical and Administrative Workers",189.65784952
"210",1988 Feb,"Males","Full time","Community and Personal Service Workers",136.62569599
"211",1988 Feb,"Males","Full time","Labourers",554.40256412
"212",1988 Feb,"Males","Full time","Machinery Operators and Drivers",474.09327621
"213",1988 Feb,"Males","Full time","Managers",618.22168828
"214",1988 Feb,"Males","Full time","Professionals",603.46845315
"215",1988 Feb,"Males","Full time","Sales Workers",398.03991404
"216",1988 Feb,"Males","Full time","Technicians and Trades Workers",1097.71641677
"217",1988 Feb,"Males","Part time","Clerical and Administrative Workers",7.80959324
"218",1988 Feb,"Males","Part time","Community and Personal Service Workers",25.24540253
"219",1988 Feb,"Males","Part time","Labourers",87.89419803
"220",1988 Feb,"Males","Part time","Machinery Operators and Drivers",26.4116987
"221",1988 Feb,"Males","Part time","Managers",24.58828549
"222",1988 Feb,"Males","Part time","Professionals",36.13771912
"223",1988 Feb,"Males","Part time","Sales Workers",46.3307065
"224",1988 Feb,"Males","Part time","Technicians and Trades Workers",36.02249724
"225",1988 May,"Females","Full time","Clerical and Administrative Workers",544.03327498
"226",1988 May,"Females","Full time","Community and Personal Service Workers",120.36877267
"227",1988 May,"Females","Full time","Labourers",162.49258613
"228",1988 May,"Females","Full time","Machinery Operators and Drivers",77.04997671
"229",1988 May,"Females","Full time","Managers",169.88731271
"230",1988 May,"Females","Full time","Professionals",342.32800832
"231",1988 May,"Females","Full time","Sales Workers",287.33081849
"232",1988 May,"Females","Full time","Technicians and Trades Workers",94.98500815
"233",1988 May,"Females","Part time","Clerical and Administrative Workers",266.91540578
"234",1988 May,"Females","Part time","Community and Personal Service Workers",143.01771975
"235",1988 May,"Females","Part time","Labourers",196.02162607
"236",1988 May,"Females","Part time","Machinery Operators and Drivers",25.97286832
"237",1988 May,"Females","Part time","Managers",89.23370119
"238",1988 May,"Females","Part time","Professionals",146.61135101
"239",1988 May,"Females","Part time","Sales Workers",252.10575873
"240",1988 May,"Females","Part time","Technicians and Trades Workers",42.72819807
"241",1988 May,"Males","Full time","Clerical and Administrative Workers",175.1644028
"242",1988 May,"Males","Full time","Community and Personal Service Workers",135.103231
"243",1988 May,"Males","Full time","Labourers",545.08734489
"244",1988 May,"Males","Full time","Machinery Operators and Drivers",477.85448001
"245",1988 May,"Males","Full time","Managers",632.77772262
"246",1988 May,"Males","Full time","Professionals",606.32440902
"247",1988 May,"Males","Full time","Sales Workers",391.23884442
"248",1988 May,"Males","Full time","Technicians and Trades Workers",1115.35900697
"249",1988 May,"Males","Part time","Clerical and Administrative Workers",10.43359983
"250",1988 May,"Males","Part time","Community and Personal Service Workers",26.9459611
"251",1988 May,"Males","Part time","Labourers",105.36446133
"252",1988 May,"Males","Part time","Machinery Operators and Drivers",26.40104348
"253",1988 May,"Males","Part time","Managers",26.59589683
"254",1988 May,"Males","Part time","Professionals",39.29717888
"255",1988 May,"Males","Part time","Sales Workers",42.59600852
"256",1988 May,"Males","Part time","Technicians and Trades Workers",37.20785263
"257",1988 Aug,"Females","Full time","Clerical and Administrative Workers",536.05392043
"258",1988 Aug,"Females","Full time","Community and Personal Service Workers",128.06394675
"259",1988 Aug,"Females","Full time","Labourers",157.84412512
"260",1988 Aug,"Females","Full time","Machinery Operators and Drivers",75.10562517
"261",1988 Aug,"Females","Full time","Managers",170.52217067
"262",1988 Aug,"Females","Full time","Professionals",347.48971805
"263",1988 Aug,"Females","Full time","Sales Workers",285.11083678
"264",1988 Aug,"Females","Full time","Technicians and Trades Workers",97.92885207
"265",1988 Aug,"Females","Part time","Clerical and Administrative Workers",262.06896889
"266",1988 Aug,"Females","Part time","Community and Personal Service Workers",142.42486319
"267",1988 Aug,"Females","Part time","Labourers",194.75028511
"268",1988 Aug,"Females","Part time","Machinery Operators and Drivers",26.16399356
"269",1988 Aug,"Females","Part time","Managers",93.49486252
"270",1988 Aug,"Females","Part time","Professionals",156.10346779
"271",1988 Aug,"Females","Part time","Sales Workers",262.62314439
"272",1988 Aug,"Females","Part time","Technicians and Trades Workers",35.4739207
"273",1988 Aug,"Males","Full time","Clerical and Administrative Workers",168.44270071
"274",1988 Aug,"Males","Full time","Community and Personal Service Workers",146.79495964
"275",1988 Aug,"Males","Full time","Labourers",538.01234445
"276",1988 Aug,"Males","Full time","Machinery Operators and Drivers",474.79405614
"277",1988 Aug,"Males","Full time","Managers",634.74445233
"278",1988 Aug,"Males","Full time","Professionals",602.09738247
"279",1988 Aug,"Males","Full time","Sales Workers",375.31641881
"280",1988 Aug,"Males","Full time","Technicians and Trades Workers",1136.18471872
"281",1988 Aug,"Males","Part time","Clerical and Administrative Workers",7.1121054
"282",1988 Aug,"Males","Part time","Community and Personal Service Workers",23.67290937
"283",1988 Aug,"Males","Part time","Labourers",96.38452106
"284",1988 Aug,"Males","Part time","Machinery Operators and Drivers",27.05044775
"285",1988 Aug,"Males","Part time","Managers",22.05322742
"286",1988 Aug,"Males","Part time","Professionals",41.08340606
"287",1988 Aug,"Males","Part time","Sales Workers",47.34375723
"288",1988 Aug,"Males","Part time","Technicians and Trades Workers",40.97628286
"289",1988 Nov,"Females","Full time","Clerical and Administrative Workers",552.27575415
"290",1988 Nov,"Females","Full time","Community and Personal Service Workers",132.01838496
"291",1988 Nov,"Females","Full time","Labourers",170.1042379
"292",1988 Nov,"Females","Full time","Machinery Operators and Drivers",75.86951411
"293",1988 Nov,"Females","Full time","Managers",180.31118496
"294",1988 Nov,"Females","Full time","Professionals",352.82959234
"295",1988 Nov,"Females","Full time","Sales Workers",293.29176439
"296",1988 Nov,"Females","Full time","Technicians and Trades Workers",98.92570178
"297",1988 Nov,"Females","Part time","Clerical and Administrative Workers",269.80626224
"298",1988 Nov,"Females","Part time","Community and Personal Service Workers",145.18574005
"299",1988 Nov,"Females","Part time","Labourers",199.51293677
"300",1988 Nov,"Females","Part time","Machinery Operators and Drivers",24.14089466
"301",1988 Nov,"Females","Part time","Managers",88.27219831
"302",1988 Nov,"Females","Part time","Professionals",149.3121405
"303",1988 Nov,"Females","Part time","Sales Workers",270.96553962
"304",1988 Nov,"Females","Part time","Technicians and Trades Workers",36.17351666
"305",1988 Nov,"Males","Full time","Clerical and Administrative Workers",175.00075433
"306",1988 Nov,"Males","Full time","Community and Personal Service Workers",139.74647507
"307",1988 Nov,"Males","Full time","Labourers",587.76495293
"308",1988 Nov,"Males","Full time","Machinery Operators and Drivers",477.48715283
"309",1988 Nov,"Males","Full time","Managers",638.56144725
"310",1988 Nov,"Males","Full time","Professionals",605.96137857
"311",1988 Nov,"Males","Full time","Sales Workers",366.54718777
"312",1988 Nov,"Males","Full time","Technicians and Trades Workers",1145.79471526
"313",1988 Nov,"Males","Part time","Clerical and Administrative Workers",10.271793
"314",1988 Nov,"Males","Part time","Community and Personal Service Workers",27.43052039
"315",1988 Nov,"Males","Part time","Labourers",101.02634956
"316",1988 Nov,"Males","Part time","Machinery Operators and Drivers",30.32453283
"317",1988 Nov,"Males","Part time","Managers",26.10624841
"318",1988 Nov,"Males","Part time","Professionals",41.62336622
"319",1988 Nov,"Males","Part time","Sales Workers",57.57048112
"320",1988 Nov,"Males","Part time","Technicians and Trades Workers",38.39419525
"321",1989 Feb,"Females","Full time","Clerical and Administrative Workers",561.22216837
"322",1989 Feb,"Females","Full time","Community and Personal Service Workers",129.22985859
"323",1989 Feb,"Females","Full time","Labourers",168.37174166
"324",1989 Feb,"Females","Full time","Machinery Operators and Drivers",76.79687128
"325",1989 Feb,"Females","Full time","Managers",177.566635
"326",1989 Feb,"Females","Full time","Professionals",361.98879358
"327",1989 Feb,"Females","Full time","Sales Workers",297.47343265
"328",1989 Feb,"Females","Full time","Technicians and Trades Workers",103.30416179
"329",1989 Feb,"Females","Part time","Clerical and Administrative Workers",268.71204819
"330",1989 Feb,"Females","Part time","Community and Personal Service Workers",149.14260617
"331",1989 Feb,"Females","Part time","Labourers",206.2995706
"332",1989 Feb,"Females","Part time","Machinery Operators and Drivers",23.76697128
"333",1989 Feb,"Females","Part time","Managers",95.34408468
"334",1989 Feb,"Females","Part time","Professionals",136.90052423
"335",1989 Feb,"Females","Part time","Sales Workers",266.59652157
"336",1989 Feb,"Females","Part time","Technicians and Trades Workers",38.89023457
"337",1989 Feb,"Males","Full time","Clerical and Administrative Workers",185.89471033
"338",1989 Feb,"Males","Full time","Community and Personal Service Workers",134.6989145
"339",1989 Feb,"Males","Full time","Labourers",569.73331951
"340",1989 Feb,"Males","Full time","Machinery Operators and Drivers",484.33173041
"341",1989 Feb,"Males","Full time","Managers",635.68978564
"342",1989 Feb,"Males","Full time","Professionals",620.60863551
"343",1989 Feb,"Males","Full time","Sales Workers",386.61106878
"344",1989 Feb,"Males","Full time","Technicians and Trades Workers",1178.56841445
"345",1989 Feb,"Males","Part time","Clerical and Administrative Workers",8.21996983
"346",1989 Feb,"Males","Part time","Community and Personal Service Workers",24.78692611
"347",1989 Feb,"Males","Part time","Labourers",102.09335499
"348",1989 Feb,"Males","Part time","Machinery Operators and Drivers",24.21042736
"349",1989 Feb,"Males","Part time","Managers",26.58869918
"350",1989 Feb,"Males","Part time","Professionals",35.75453689
"351",1989 Feb,"Males","Part time","Sales Workers",52.01146352
"352",1989 Feb,"Males","Part time","Technicians and Trades Workers",35.08024244
"353",1989 May,"Females","Full time","Clerical and Administrative Workers",563.28852371
"354",1989 May,"Females","Full time","Community and Personal Service Workers",128.11748111
"355",1989 May,"Females","Full time","Labourers",174.23013623
"356",1989 May,"Females","Full time","Machinery Operators and Drivers",74.41306551
"357",1989 May,"Females","Full time","Managers",178.34501189
"358",1989 May,"Females","Full time","Professionals",370.50662489
"359",1989 May,"Females","Full time","Sales Workers",299.12208077
"360",1989 May,"Females","Full time","Technicians and Trades Workers",111.96852151
"361",1989 May,"Females","Part time","Clerical and Administrative Workers",273.03036617
"362",1989 May,"Females","Part time","Community and Personal Service Workers",157.75525098
"363",1989 May,"Females","Part time","Labourers",212.02672948
"364",1989 May,"Females","Part time","Machinery Operators and Drivers",27.38367072
"365",1989 May,"Females","Part time","Managers",93.57370406
"366",1989 May,"Females","Part time","Professionals",168.73863292
"367",1989 May,"Females","Part time","Sales Workers",286.08547256
"368",1989 May,"Females","Part time","Technicians and Trades Workers",42.354148
"369",1989 May,"Males","Full time","Clerical and Administrative Workers",187.94756915
"370",1989 May,"Males","Full time","Community and Personal Service Workers",132.583445
"371",1989 May,"Males","Full time","Labourers",577.48399101
"372",1989 May,"Males","Full time","Machinery Operators and Drivers",483.31960287
"373",1989 May,"Males","Full time","Managers",632.64982298
"374",1989 May,"Males","Full time","Professionals",629.48309688
"375",1989 May,"Males","Full time","Sales Workers",385.98069912
"376",1989 May,"Males","Full time","Technicians and Trades Workers",1184.61734686
"377",1989 May,"Males","Part time","Clerical and Administrative Workers",10.51602483
"378",1989 May,"Males","Part time","Community and Personal Service Workers",30.98871851
"379",1989 May,"Males","Part time","Labourers",112.9684791
"380",1989 May,"Males","Part time","Machinery Operators and Drivers",26.37439971
"381",1989 May,"Males","Part time","Managers",26.131464
"382",1989 May,"Males","Part time","Professionals",42.97995668
"383",1989 May,"Males","Part time","Sales Workers",52.74603911
"384",1989 May,"Males","Part time","Technicians and Trades Workers",43.07943102
"385",1989 Aug,"Females","Full time","Clerical and Administrative Workers",553.60097639
"386",1989 Aug,"Females","Full time","Community and Personal Service Workers",124.43295122
"387",1989 Aug,"Females","Full time","Labourers",164.82389565
"388",1989 Aug,"Females","Full time","Machinery Operators and Drivers",79.78694803
"389",1989 Aug,"Females","Full time","Managers",172.62296256
"390",1989 Aug,"Females","Full time","Professionals",369.64175015
"391",1989 Aug,"Females","Full time","Sales Workers",317.86827561
"392",1989 Aug,"Females","Full time","Technicians and Trades Workers",111.58338813
"393",1989 Aug,"Females","Part time","Clerical and Administrative Workers",278.11736043
"394",1989 Aug,"Females","Part time","Community and Personal Service Workers",158.71682558
"395",1989 Aug,"Females","Part time","Labourers",217.82176936
"396",1989 Aug,"Females","Part time","Machinery Operators and Drivers",25.00571834
"397",1989 Aug,"Females","Part time","Managers",92.24481973
"398",1989 Aug,"Females","Part time","Professionals",158.87612294
"399",1989 Aug,"Females","Part time","Sales Workers",291.55270397
"400",1989 Aug,"Females","Part time","Technicians and Trades Workers",42.26260746
"401",1989 Aug,"Males","Full time","Clerical and Administrative Workers",180.32549308
"402",1989 Aug,"Males","Full time","Community and Personal Service Workers",136.09496189
"403",1989 Aug,"Males","Full time","Labourers",560.06750073
"404",1989 Aug,"Males","Full time","Machinery Operators and Drivers",490.84401915
"405",1989 Aug,"Males","Full time","Managers",636.54399921
"406",1989 Aug,"Males","Full time","Professionals",632.61333811
"407",1989 Aug,"Males","Full time","Sales Workers",393.13600805
"408",1989 Aug,"Males","Full time","Technicians and Trades Workers",1172.79455869
"409",1989 Aug,"Males","Part time","Clerical and Administrative Workers",10.79147694
"410",1989 Aug,"Males","Part time","Community and Personal Service Workers",29.11689657
"411",1989 Aug,"Males","Part time","Labourers",113.04262406
"412",1989 Aug,"Males","Part time","Machinery Operators and Drivers",28.8267195
"413",1989 Aug,"Males","Part time","Managers",27.076037
"414",1989 Aug,"Males","Part time","Professionals",46.63281076
"415",1989 Aug,"Males","Part time","Sales Workers",58.60296532
"416",1989 Aug,"Males","Part time","Technicians and Trades Workers",39.80452861
"417",1989 Nov,"Females","Full time","Clerical and Administrative Workers",578.56088018
"418",1989 Nov,"Females","Full time","Community and Personal Service Workers",134.17886794
"419",1989 Nov,"Females","Full time","Labourers",177.10927475
"420",1989 Nov,"Females","Full time","Machinery Operators and Drivers",75.64720467
"421",1989 Nov,"Females","Full time","Managers",185.43087067
"422",1989 Nov,"Females","Full time","Professionals",371.62102864
"423",1989 Nov,"Females","Full time","Sales Workers",320.99327332
"424",1989 Nov,"Females","Full time","Technicians and Trades Workers",112.35530012
"425",1989 Nov,"Females","Part time","Clerical and Administrative Workers",284.14328754
"426",1989 Nov,"Females","Part time","Community and Personal Service Workers",155.25630672
"427",1989 Nov,"Females","Part time","Labourers",215.91512998
"428",1989 Nov,"Females","Part time","Machinery Operators and Drivers",28.01083796
"429",1989 Nov,"Females","Part time","Managers",93.02410366
"430",1989 Nov,"Females","Part time","Professionals",161.33588412
